Salaar: Part 1 – Ceasefire,"The fate of a violently contested kingdom hangs on the fraught bond between two friends-turned-foes in this saga of power, bloodshed and betrayal.",Prashanth Neel,"Prabhas, Prithviraj Sukumaran, Shruti Haasan",2023-12-22,Telugu,02:55:00,Action,Uploadimage/Action 1.jpg,https://youtu.be/4GPvYMKtrtI?si=wFLHqCI6rtyX16Pe,https://www.netflix.com/watch/81754780?source=35
K.G.F: Chapter 2,"In the blood-soaked Kolar Gold Fields, Rocky's name strikes fear into his foes, while the government sees him as a threat to law and order. Rocky must battle threats from all sides for unchallenged supremacy.",Prashanth Neel,"YashSanjay, DuttRaveena, Tandon",2022-04-14,Kannada,02:48:00,Action,Uploadimage/Action 2.jpg,https://youtu.be/jQsE85cI384?si=RThqjifUQ7SjJQz_,https://www.primevideo.com/dp/amzn1.dv.gti.fd2d5f15-87c3-4672-b056-0465f1067b6d?autoplay=0&ref_=atv_cf_strg_wb
Interstellar,"When Earth becomes uninhabitable in the future, a farmer and ex-NASA pilot, Joseph Cooper, is tasked to pilot a spacecraft, along with a team of researchers, to find a new planet for humans.",Christopher Nolan,"
Matthew McConaughey, Anne Hathaway, Jessica Chastain",2014-11-07,English,02:49:00,Action,Uploadimage/Action 3.jpg,https://youtu.be/zSWdZVtXT7E?si=_EbN3tumhQGuiCi6,https://www.netflix.com/watch/70305903?source=35
Avengers: Endgame,"After the devastating events of Avengers: Infinity War (2018), the universe is in ruins. With the help of remaining allies, the Avengers assemble once more in order to reverse Thanos' actions and restore balance to the universe.","
Anthony Russo, Joe Russo","Robert Downey, Jr.Chris Evans, Mark Ruffalo",2019-04-26,English,02:49:00,Action,Uploadimage/Action 4.jpg,https://youtu.be/TcMBFSGVi1c?si=zHa6616eV-ZTsDM7,https://www.hotstar.com/in/movies/avengers-endgame/1260013556/watch?utm_source=gwa
Jawan,A high-octane action thriller which outlines the emotional journey of a man who is set to rectify the wrongs in the society.,Atlee,"
Shah Rukh Khan, Nayanthara, Vijay Sethupathi",2023-09-07,Hindi,03:02:00,Action,Uploadimage/Action 5.jpg,https://youtu.be/MWOlnZSnXJo?si=YQ_vSzn9u6yaYv0I,https://www.netflix.com/watch/81493411?source=35
Fast X,Dom Toretto and his family are targeted by the vengeful son of drug kingpin Hernan Reyes.,"Louis Leterrier, Justin Lin","Vin Diesel, Michelle Rodriguez, Jason Statham",2023-05-19,English,02:21:00,Action,Uploadimage/Action 6.jpg,https://youtu.be/32RAq6JzY-w?si=R5WV5VEg1q1TSprM,https://www.jiocinema.com/movies/fast-x/3825785/watch?utm_source=WatchAction&utm_medium=MovieWatchAction&utm_campaign=fast-x
The Amazing Spider-Man,"After Peter Parker is bitten by a genetically altered spider, he gains newfound, spider-like powers and ventures out to save the city from the machinations of a mysterious reptilian foe.","
Marc Webb","
Andrew Garfield, Emma Stone, Rhys Ifans",2012-06-29,English,02:16:00,Action,Uploadimage/Action 7.jpg,https://youtu.be/-tnxzJ0SSOw?si=Wuwt9sLXIGg7xOyn,https://www.jiocinema.com/movies/the-amazing-spider-man-hindi/3879083/watch?utm_source=WatchAction&utm_medium=MovieWatchAction&utm_campaign=the-amazing-spider-man-hindi
Animal,The hardened son of a powerful industrialist returns home after years abroad and vows to take bloody revenge on those threatening his father's life.,Sandeep Reddy Vanga,"Ranbir Kapoor, Anil Kapoor, Bobby Deol",2023-12-01,Hindi,03:24:00,Action,Uploadimage/Action 8.jpg,https://youtu.be/8FkLRUJj-o0?si=UqT949FnbuKnIUd1,https://www.netflix.com/watch/81436990?source=35
John Wick: Chapter 2,"After returning to the criminal underworld to repay a debt, John Wick discovers that a large bounty has been put on his life.",Chad Stahelski,"
Keanu Reeves, Riccardo Scamarcio, Ian McShane",2017-02-17,English,02:02:00,Action,Uploadimage/Action 9.jpg,https://youtu.be/ChpLV9AMqm4?si=5Zb6snBCNJMqZv05,https://www.primevideo.com/dp/amzn1.dv.gti.88ba872f-b961-4d71-eba6-6e56bdc67542?autoplay=0&ref_=atv_cf_strg_wb
Kantara,"When greed paves the way for betrayal, scheming and murder, a young tribal reluctantly dons the traditions of his ancestors to seek justice.","
Rishab Shetty","
Rishab Shetty, Kishore Kumar G, Achyuth Kumar",2022-09-30,Kannada,02:28:00,Action,Uploadimage/Action 10.jpg,https://youtu.be/8mrVmf239GU?si=ToR1Sol3yYGDfVEx,https://www.netflix.com/watch/81656709?source=35
Tenet,"Armed with only the word ""Tenet,"" and fighting for the survival of the entire world, CIA operative, The Protagonist, journeys through a twilight world of international espionage on a global mission that unfolds beyond real time.",Christopher Nolan,"
John David Washington, Robert Pattinson, Elizabeth Debicki",2020-12-04,English,02:30:00,SciFi,Uploadimage/Scifi 1.jpg,https://youtu.be/L3pk_TBkihU?si=NB2lD9PJvSVYIfzo,https://www.netflix.com/watch/81198930?source=35
Moonfall,A mysterious force knocks the moon from its orbit and sends it hurtling on a collision course toward earth.,Roland Emmerich,"Halle Berry, Patrick Wilson, John Bradley",2022-02-03,English,02:10:00,SciFi,Uploadimage/Scifi 2.jpg,https://youtu.be/00BinrRItSs?si=uYFCixASFoE8BsUZ,https://www.primevideo.com/dp/amzn1.dv.gti.7b6a2cda-efff-45f7-a12c-7373a1f4a7df?autoplay=0&ref_=atv_cf_strg_wb
Meg 2: The Trench,"A research team encounters multiple threats while exploring the depths of the ocean, including a malevolent mining operation.","
Ben Wheatley","Jason Statham, Jing Wu, Shuya Sophia Cai",2023-08-04,English,01:56:00,SciFi,Uploadimage/Scifi 3.jpg,https://youtu.be/dG91B3hHyY4?si=yti0wUjKx2el8mlr,https://www.jiocinema.com/movies/meg-2-the-trench/3876169/watch?utm_source=WatchAction&utm_medium=MovieWatchAction&utm_campaign=meg-2-the-trench
Venom,"A failed reporter is bonded to an alien entity, one of many symbiotes who have invaded Earth. But the being takes a liking to Earth and decides to protect it.","
Ruben Fleischer","
Tom Hardy, Michelle Williams, Riz Ahmed",2018-10-05,English,01:52:00,SciFi,Uploadimage/Scifi 4.jpg,https://youtu.be/u9Mv98Gr5pY?si=kfO3iiSHdpDOZyzw,https://www.netflix.com/watch/80991034?source=35
